name	LWR	fract	aLWR	afract	taxopath
Query5429	0.4275	0.4362	0.9593	0.9789	Eukaryota
Query4372	0.5253	0.5377	0.7292	0.7463	Eukaryota;Arthropoda
Query4744	0.8184	0.8359	0.8237	0.8413	Eukaryota;Arthropoda
Query3366	0.5983	0.6052	0.9662	0.9774	Eukaryota
Query3785	0.906	0.914	0.9673	0.9759	Eukaryota;Arthropoda
Query3680	0.6371	0.6375	0.6371	0.6375	Eukaryota;Arthropoda;Collembola;Entomobryomorpha
Query1524	0.8919	0.8979	0.9809	0.9875	Eukaryota;Annelida;Clitellata
Query2030	0.8863	0.9265	0.9094	0.9506	Eukaryota;Annelida;Polychaeta
Query1006	0.63	0.6623	0.7591	0.798	Eukaryota;Annelida;Clitellata
Query1818	0.9117	0.913	0.9691	0.9704	Eukaryota;Annelida;Clitellata
Query596	0.9054	0.9271	0.9054	0.9271	Eukaryota;Annelida;Polychaeta
Query210	0.9203	0.9232	0.9203	0.9232	Eukaryota;Annelida;Polychaeta
Query5364	0.673	0.6861	0.9019	0.9195	Eukaryota;Mollusca
Query3494	0.7899	0.804	0.8765	0.8922	Eukaryota;Annelida;Polychaeta
Query50	0.784	0.7921	0.891	0.9002	Eukaryota;Annelida;Polychaeta
Query1134	0.6151	0.6151	0.6151	0.6151	Eukaryota;Ichthyosporea;Ichthyosporea;Dermocystida;Sphaerothecum;Sphaerothecum;Sphaerothecum_destruens
Query2048	0.4965	0.4965	0.4965	0.4965	Eukaryota;Echinodermata;Asteroidea;Peripodida;Xyloplacidae;Xyloplax;Xyloplax;_anetae
Query209	0.4971	0.5021	0.9596	0.9694	Eukaryota
Query3887	0.9482	0.9615	0.9499	0.9632	Eukaryota
Query143	0.5672	0.5673	0.9662	0.9663	Eukaryota;Arthropoda;Hexanauplia
Query1496	0.631	0.632	0.9645	0.9662	Eukaryota;Arthropoda;Hexanauplia
Query4785	0.7996	0.7997	0.7996	0.7997	Eukaryota;Rotifera;Bdelloidea
Query3560	0.6377	0.6377	1	1	Eukaryota
Query3889	0.8493	0.8507	0.9759	0.9775	Eukaryota
Query3185	0.6705	0.6705	0.957	0.957	Eukaryota
Query5478	0.9593	0.9593	0.9593	0.9594	Eukaryota
Query1123	1	1	1	1	Eukaryota;Bigyra;Bigyra;Bicosoecida
Query1676	0.8333	0.834	0.9716	0.9724	Eukaryota
Query4252	0.8829	0.9509	0.8863	0.9546	Eukaryota
Query3567	0.8055	0.8229	0.9539	0.9745	Eukaryota
Query4450	0.8629	0.8631	0.9884	0.9886	Eukaryota
Query3376	0.5047	0.5107	0.9881	0.9997	Eukaryota
Query1820	0.5736	0.5736	0.5736	0.5736	Eukaryota;Ichthyosporea;Ichthyosporea;Dermocystida;Sphaerothecum;Sphaerothecum;Sphaerothecum_destruens
Query5219	0.959	0.967	0.959	0.967	Eukaryota
Query1549	0.8359	0.8474	0.9695	0.9829	Eukaryota
Query5169	0.5114	0.5175	0.8399	0.8499	Eukaryota
Query2661	0.9069	0.9303	0.9069	0.9303	Eukaryota;Annelida;Polychaeta
Query705	0.8662	0.899	0.9111	0.9457	Eukaryota;Annelida;Clitellata
Query1266	0.4362	0.4458	0.9611	0.9823	Eukaryota
Query3460	0.8876	0.8879	0.9654	0.9657	Eukaryota;Annelida;Clitellata
Query748	0.8091	0.8606	0.8091	0.8606	Eukaryota;Annelida;Polychaeta
Query2781	0.6671	0.6775	0.9623	0.9772	Eukaryota;Annelida;Clitellata
Query198	0.9631	0.9693	0.9631	0.9693	Eukaryota;Annelida;Polychaeta
Query1447	0.9425	0.9625	0.9425	0.9625	Eukaryota;Annelida;Polychaeta
