name	LWR	fract	aLWR	afract	taxopath
Query5150	0.9775	0.9815	0.9775	0.9815	Bacteria;Proteobacteria;Betaproteobacteria
Query4576	0.966	0.966	0.966	0.966	Bacteria;Proteobacteria;Betaproteobacteria
Query4727	0.8183	0.8183	0.9743	0.9743	Bacteria
Query6110	0.9728	0.977	0.9728	0.977	Bacteria;Proteobacteria;Betaproteobacteria
Query5459	0.9787	0.9823	0.9787	0.9823	Bacteria;Proteobacteria;Betaproteobacteria
Query5773	0.6131	0.6195	0.9773	0.9874	Eukaryota;Glaucocystophyceae;Glaucocystophyceae
Query4554	0.6967	0.962	0.6967	0.962	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus_atmophyticus
Query5795	0.4462	0.936	0.4462	0.936	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus_atmophyticus
Query2456	0.3084	0.4821	0.6236	0.9748	Eukaryota
Query4849	0.527	0.8109	0.527	0.8109	Eukaryota;Rhodophyta
Query2595	0.8046	0.8569	0.9263	0.9864	Eukaryota
Query3952	0.5875	0.6192	0.9417	0.9925	Eukaryota
Query5986	0.5684	0.6369	0.8878	0.9948	Eukaryota
Query3223	0.7589	0.7729	0.9793	0.9974	Eukaryota
Query5528	0.6372	0.6375	0.9985	0.9991	Eukaryota
Query3355	0.7464	0.7792	0.9543	0.9963	Eukaryota
Query6670	0.7381	0.7907	0.9307	0.9969	Eukaryota
Query3910	0.6433	0.714	0.8953	0.9938	Eukaryota
Query6283	0.9837	0.9837	0.9837	0.9837	Eukaryota
Query5639	0.641	0.7279	0.8672	0.9849	Eukaryota
Query3024	0.6304	0.7245	0.8639	0.9928	Eukaryota
Query5427	0.5949	0.6543	0.9046	0.9949	Eukaryota
Query3137	0.6976	0.7291	0.9542	0.9972	Eukaryota
Query5380	0.6373	0.6703	0.9437	0.9926	Eukaryota
Query3312	0.6373	0.7361	0.8564	0.9892	Eukaryota
Query6376	0.9148	0.9216	0.9632	0.9704	Eukaryota
Query3399	0.6842	0.7388	0.9222	0.9958	Eukaryota
Query6615	0.8219	0.822	0.9761	0.9763	Eukaryota
Query4824	0.7628	0.7628	0.9753	0.9754	Eukaryota
Query2069	0.8288	0.8303	0.9791	0.9809	Eukaryota
Query3904	0.8285	0.8303	0.9769	0.9791	Eukaryota
Query6187	0.5671	0.6378	0.8852	0.9955	Eukaryota
Query3307	0.7726	0.7771	0.9887	0.9944	Eukaryota
Query5721	0.6974	0.7768	0.8877	0.9888	Eukaryota
Query2968	0.7364	0.7856	0.9343	0.9968	Eukaryota
Query6026	0.7781	0.7854	0.9883	0.9977	Eukaryota
Query4287	0.5223	0.61	0.8499	0.9926	Eukaryota
Query6829	0.7589	0.7604	0.9936	0.9957	Eukaryota
Query3990	0.7345	0.7726	0.9459	0.9949	Eukaryota
Query6928	0.6977	0.7044	0.9867	0.9961	Eukaryota
Query4327	0.7185	0.7339	0.975	0.996	Eukaryota
Query5991	0.7354	0.7731	0.9488	0.9974	Eukaryota
Query3279	0.5215	0.5502	0.9331	0.9844	Eukaryota
Query6059	0.5511	0.5523	0.9947	0.9968	Eukaryota
Query3335	0.7097	0.7767	0.9082	0.9939	Eukaryota
Query5897	0.7329	0.7695	0.9499	0.9973	Eukaryota
Query3366	0.7882	0.7917	0.9797	0.9841	Eukaryota
Query5738	0.9036	0.9804	0.9036	0.9804	Eukaryota
Query2428	0.831	0.8311	0.9768	0.977	Eukaryota
Query5256	0.5584	0.5806	0.9564	0.9943	Eukaryota
Query2759	0.6571	0.713	0.917	0.9951	Eukaryota
Query5335	0.6719	0.6719	0.9736	0.9736	Eukaryota
Query2714	0.739	0.769	0.9593	0.9982	Eukaryota
Query5173	0.7981	0.7983	0.9765	0.9766	Eukaryota
Query2284	0.583	0.6105	0.9489	0.9935	Eukaryota
Query4563	0.7915	0.7946	0.9728	0.9767	Eukaryota
Query6514	0.4488	0.7057	0.6234	0.9803	Eukaryota
Query4066	0.6349	0.693	0.91	0.9933	Eukaryota
Query6204	0.5294	0.5866	0.8982	0.9952	Eukaryota
Query5397	0.7285	0.747	0.9729	0.9976	Eukaryota
Query3186	0.6356	0.6796	0.9301	0.9944	Eukaryota
Query5654	0.9755	0.976	0.9932	0.9937	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query6930	0.6795	0.8807	0.7577	0.982	Eukaryota
Query3394	0.9072	0.9807	0.9072	0.9807	Eukaryota
Query2693	0.5426	0.5496	0.9853	0.998	Eukaryota
Query4573	0.7545	0.7867	0.9538	0.9945	Eukaryota
Query3997	0.6604	0.7116	0.9234	0.995	Eukaryota
Query4209	0.8041	0.8042	0.976	0.9761	Eukaryota
Query6876	0.5744	0.6073	0.9388	0.9926	Eukaryota
Query5962	0.7405	0.7522	0.9811	0.9965	Eukaryota
Query5160	0.6261	0.6575	0.9466	0.9941	Eukaryota
Query4150	0.7732	0.7871	0.9802	0.9979	Eukaryota
Query3344	0.6958	0.7765	0.89	0.9932	Eukaryota
Query2240	0.7333	0.7769	0.9417	0.9976	Eukaryota
Query5925	0.7484	0.7822	0.9534	0.9964	Eukaryota
Query4697	0.8705	0.8745	0.9801	0.9846	Eukaryota
Query3630	0.8637	0.8656	0.9801	0.9822	Eukaryota
Query3521	0.7173	0.7352	0.9716	0.9959	Eukaryota
Query2517	0.7168	0.7484	0.9538	0.9958	Eukaryota
Query5152	0.6208	0.7348	0.8331	0.9861	Eukaryota
Query3664	0.8374	0.8381	0.9761	0.977	Eukaryota
Query2280	0.6975	0.7747	0.8944	0.9934	Eukaryota
Query5383	0.7282	0.7742	0.9373	0.9964	Eukaryota
Query4020	0.7711	0.7764	0.9899	0.9967	Eukaryota
Query4093	0.5868	0.6839	0.8529	0.9941	Eukaryota
Query2270	0.7477	0.784	0.9496	0.9958	Eukaryota
Query6200	0.691	0.691	0.9738	0.9738	Eukaryota
Query4769	0.7294	0.7554	0.9601	0.9942	Eukaryota
Query2191	0.5634	0.6584	0.8502	0.9935	Eukaryota
Query2067	0.7388	0.752	0.9791	0.9967	Eukaryota
Query5346	0.6154	0.6244	0.978	0.9923	Eukaryota
Query4099	0.5554	0.6355	0.8687	0.9939	Eukaryota
Query6811	0.6461	0.6777	0.9484	0.9947	Eukaryota
Query2082	0.7609	0.7609	0.9749	0.975	Eukaryota
Query4917	0.5917	0.691	0.8511	0.9941	Eukaryota
Query3246	0.535	0.5612	0.9472	0.9936	Eukaryota
Query6901	0.737	0.7537	0.9746	0.9967	Eukaryota
Query4408	0.6813	0.78	0.8671	0.9926	Eukaryota
Query6153	0.7875	0.7876	0.9755	0.9757	Eukaryota
Query2870	0.7329	0.7343	0.9716	0.9734	Eukaryota
Query3617	0.7364	0.7364	0.9762	0.9762	Eukaryota
Query4843	0.6794	0.6807	0.9719	0.9737	Eukaryota
Query6776	0.7534	0.7599	0.9672	0.9755	Eukaryota
Query5363	0.7755	0.7756	0.977	0.9772	Eukaryota
Query4025	0.7588	0.7589	0.9744	0.9745	Eukaryota
Query6034	0.4488	0.4512	0.4677	0.4701	Eukaryota;Evosea;Eumycetozoa
Query4653	0.7463	0.7619	0.9751	0.9954	Eukaryota
Query3085	0.638	0.6651	0.9527	0.9931	Eukaryota
Query4291	0.6297	0.7117	0.8783	0.9928	Eukaryota
Query6795	0.7951	0.8028	0.9888	0.9984	Eukaryota
Query5660	0.439	0.4868	0.8859	0.9825	Eukaryota
Query4586	0.3317	0.4611	0.3317	0.4611	Eukaryota;Rhodophyta
Query2737	0.7931	0.8038	0.9852	0.9985	Eukaryota
Query5787	0.7223	0.7691	0.9316	0.9919	Eukaryota
Query3938	0.6386	0.6391	0.9983	0.9991	Eukaryota
Query3053	0.8275	0.8277	0.9787	0.9789	Eukaryota
Query2092	0.6846	0.7857	0.8657	0.9936	Eukaryota
Query4732	0.7238	0.7518	0.959	0.9961	Eukaryota
Query3944	0.7551	0.7551	0.9746	0.9746	Eukaryota
Query6288	0.5537	0.6538	0.8412	0.9933	Eukaryota
Query3559	0.5488	0.6411	0.8502	0.9932	Eukaryota
Query6783	0.5902	0.6072	0.9656	0.9934	Eukaryota
Query4341	0.5566	0.5615	0.9762	0.9848	Eukaryota
Query2319	0.6687	0.6687	0.9742	0.9742	Eukaryota
Query5011	0.5759	0.6852	0.8354	0.994	Eukaryota
Query3379	0.7776	0.7874	0.9861	0.9985	Eukaryota
Query5500	0.7307	0.756	0.9642	0.9976	Eukaryota
Query3174	0.7884	0.7988	0.9843	0.9974	Eukaryota
Query7002	0.5679	0.6754	0.8354	0.9935	Eukaryota
Query3818	0.7233	0.7717	0.934	0.9964	Eukaryota
Query2271	0.5648	0.6478	0.8679	0.9955	Eukaryota
Query5187	0.7276	0.772	0.9409	0.9983	Eukaryota
Query2478	0.7557	0.7739	0.9749	0.9984	Eukaryota
Query5942	0.6539	0.7214	0.9007	0.9938	Eukaryota
Query3268	0.7289	0.7825	0.9284	0.9967	Eukaryota
Query6286	0.3783	0.5139	0.7175	0.9746	Eukaryota
Query3931	0.6133	0.6478	0.9434	0.9966	Eukaryota
Query4092	0.7311	0.7567	0.9612	0.9948	Eukaryota
Query7014	0.5191	0.5191	0.5191	0.5191	Eukaryota;Bigyra;Bigyra;Thraustochytrida;Thraustochytriaceae
Query4454	0.7467	0.7646	0.9746	0.998	Eukaryota
Query2831	0.7271	0.7505	0.9663	0.9973	Eukaryota
Query6535	0.7534	0.7678	0.9767	0.9954	Eukaryota
Query4735	0.6687	0.724	0.9194	0.9954	Eukaryota
Query3936	0.5714	0.5922	0.9602	0.9951	Eukaryota
Query2864	0.6189	0.662	0.9263	0.9908	Eukaryota
Query6947	0.4256	0.4361	0.965	0.989	Eukaryota
Query5329	0.67	0.7696	0.8613	0.9893	Eukaryota
Query4549	0.755	0.7655	0.9824	0.996	Eukaryota
Query6657	0.7502	0.7726	0.9672	0.9961	Eukaryota
Query3991	0.7034	0.7393	0.9474	0.9957	Eukaryota
Query2745	0.7564	0.7848	0.9618	0.9979	Eukaryota
Query5032	0.6618	0.7271	0.9048	0.994	Eukaryota
Query5134	0.7204	0.7487	0.9593	0.997	Eukaryota
Query4627	0.7486	0.7778	0.9609	0.9984	Eukaryota
Query3781	0.6673	0.6676	0.9992	0.9998	Eukaryota
Query2070	0.764	0.7732	0.9863	0.9981	Eukaryota
Query4250	0.6488	0.7509	0.8544	0.9889	Eukaryota
Query3911	0.7505	0.7856	0.9519	0.9965	Eukaryota
Query3196	0.7751	0.829	0.9219	0.986	Eukaryota
Query6966	0.7718	0.7822	0.974	0.9871	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query6640	0.7786	0.7842	0.9913	0.9985	Eukaryota
Query4637	0.7325	0.7532	0.9683	0.9957	Eukaryota
Query3469	0.5846	0.6362	0.9141	0.9948	Eukaryota
Query6440	0.6284	0.6602	0.9447	0.9924	Eukaryota
Query5001	0.6594	0.6904	0.9502	0.9949	Eukaryota
Query2300	0.6566	0.7274	0.8972	0.994	Eukaryota
Query4474	0.7089	0.718	0.9837	0.9964	Eukaryota
Query5445	0.7056	0.7129	0.7373	0.7449	Eukaryota;Evosea;Eumycetozoa
Query5135	0.756	0.7729	0.9754	0.9971	Eukaryota
Query5090	0.7386	0.7664	0.958	0.994	Eukaryota
Query4858	0.7738	0.7945	0.9733	0.9993	Eukaryota
Query2650	0.2526	0.299	0.8351	0.9884	Eukaryota
Query2218	0.7228	0.7541	0.9549	0.9963	Eukaryota
Query4204	0.6665	0.6753	0.9755	0.9884	Eukaryota
Query2262	0.5468	0.5801	0.9348	0.9918	Eukaryota
Query7001	0.7416	0.7697	0.9617	0.9981	Eukaryota
Query3695	0.798	0.806	0.9879	0.9977	Eukaryota
Query2938	0.7519	0.7672	0.9578	0.9773	Eukaryota
Query4530	0.6627	0.733	0.8988	0.9942	Eukaryota
Query6335	0.5421	0.5707	0.9426	0.9923	Eukaryota
Query2881	0.733	0.7569	0.9649	0.9964	Eukaryota
Query4872	0.7562	0.7647	0.9849	0.9961	Eukaryota
Query2223	0.6166	0.6698	0.9149	0.9939	Eukaryota
Query4288	0.794	0.8026	0.9884	0.9992	Eukaryota
Query5693	0.3513	0.3513	0.9828	0.9828	Eukaryota
Query4306	0.7444	0.7731	0.9604	0.9974	Eukaryota
Query2775	0.7287	0.7708	0.9429	0.9974	Eukaryota
Query5063	0.5683	0.6401	0.8835	0.9951	Eukaryota
Query6723	0.5877	0.6926	0.8391	0.9888	Eukaryota
Query4381	0.7584	0.8026	0.9416	0.9965	Eukaryota
Query4420	0.6266	0.677	0.9203	0.9944	Eukaryota
Query2669	0.671	0.7807	0.8525	0.992	Eukaryota
Query2156	0.6524	0.7367	0.8796	0.9933	Eukaryota
Query3217	0.6373	0.7361	0.8564	0.9892	Eukaryota
Query2978	0.4364	0.4477	0.9636	0.9884	Eukaryota
Query2379	0.7421	0.7831	0.9402	0.9922	Eukaryota
Query2160	0.7684	0.7912	0.9692	0.9981	Eukaryota
Query5310	0.7653	0.7749	0.9855	0.9978	Eukaryota
Query5242	0.6895	0.7648	0.8955	0.9933	Eukaryota
Query4793	0.7183	0.7458	0.9603	0.9971	Eukaryota
Query3012	0.75	0.7899	0.9457	0.996	Eukaryota
Query3119	0.86	0.8644	0.8963	0.9009	Eukaryota;Evosea;Eumycetozoa
Query5956	0.6735	0.7864	0.85	0.9924	Eukaryota
Query4743	0.7108	0.7234	0.978	0.9953	Eukaryota
Query3439	0.5899	0.6821	0.861	0.9956	Eukaryota
Query2125	0.5981	0.6783	0.8779	0.9955	Eukaryota
Query5040	0.7459	0.7805	0.9522	0.9963	Eukaryota
Query4305	0.5717	0.6714	0.8461	0.9936	Eukaryota
Query2172	0.7293	0.7428	0.9789	0.9971	Eukaryota
Query5007	0.4826	0.4992	0.9603	0.9932	Eukaryota
Query4592	0.4181	0.4496	0.4486	0.4824	Eukaryota;Evosea;Eumycetozoa
Query3769	0.7278	0.7441	0.9752	0.9971	Eukaryota
Query2606	0.5789	0.6932	0.8198	0.9818	Eukaryota
Query6754	0.7443	0.7718	0.9616	0.9971	Eukaryota
Query5662	0.7278	0.748	0.9694	0.9964	Eukaryota
Query3838	0.7499	0.7745	0.9652	0.9969	Eukaryota
Query3347	0.5259	0.5704	0.9121	0.9894	Eukaryota
Query3403	0.7817	0.789	0.9895	0.9987	Eukaryota
Query2732	0.7375	0.7699	0.9534	0.9953	Eukaryota
Query2569	0.7053	0.7414	0.9393	0.9874	Eukaryota
Query6445	0.677	0.7849	0.8501	0.9856	Eukaryota
Query4546	0.5844	0.6699	0.8683	0.9953	Eukaryota
Query3476	0.7802	0.7918	0.9823	0.9969	Eukaryota
Query2454	0.6973	0.715	0.9696	0.9943	Eukaryota
Query6097	0.6329	0.6857	0.9177	0.9943	Eukaryota
Query5862	0.6762	0.7756	0.8626	0.9894	Eukaryota
Query4939	0.759	0.7702	0.9827	0.9972	Eukaryota
Query2085	0.4906	0.5078	0.9592	0.9928	Eukaryota
Query5211	0.6694	0.7229	0.9218	0.9955	Eukaryota
Query4383	0.6954	0.7076	0.978	0.995	Eukaryota
Query3221	0.5897	0.6285	0.931	0.9923	Eukaryota
Query2306	0.5159	0.5416	0.9466	0.9936	Eukaryota
Query6360	0.6489	0.679	0.9491	0.993	Eukaryota
Query4261	0.5977	0.6745	0.8826	0.996	Eukaryota
Query3238	0.788	0.7965	0.9865	0.9971	Eukaryota
Query4018	0.6184	0.65	0.9444	0.9926	Eukaryota
Query3474	0.7167	0.7525	0.9482	0.9956	Eukaryota
Query6541	0.5621	0.5936	0.9375	0.9899	Eukaryota
Query4910	0.7958	0.8018	0.9917	0.9992	Eukaryota
Query4444	0.6737	0.7665	0.8699	0.9897	Eukaryota
Query2572	0.7202	0.7343	0.9761	0.9952	Eukaryota
Query5907	0.6887	0.7058	0.9754	0.9997	Eukaryota
Query2054	0.7648	0.7825	0.9751	0.9977	Eukaryota
Query5995	0.5744	0.6096	0.9355	0.9928	Eukaryota
Query3902	0.719	0.767	0.9356	0.9982	Eukaryota
Query2285	0.6348	0.636	0.665	0.6662	Eukaryota;Evosea;Eumycetozoa
Query5950	0.955	0.9578	0.9711	0.9739	Eukaryota
Query3188	0.726	0.7566	0.9563	0.9966	Eukaryota
Query6763	0.7209	0.7297	0.9819	0.9939	Eukaryota
Query2234	0.6553	0.7304	0.8919	0.994	Eukaryota
Query5695	0.7323	0.7507	0.9721	0.9965	Eukaryota
Query5148	0.841	0.8746	0.9291	0.9662	Eukaryota;Oomycota;Oomycota
Query2935	0.6491	0.7174	0.8991	0.9937	Eukaryota
Query5758	0.7205	0.7705	0.9273	0.9916	Eukaryota
Query4319	0.6458	0.6689	0.96	0.9944	Eukaryota
Query3432	0.6556	0.7676	0.8474	0.9922	Eukaryota
Query2491	0.7045	0.7171	0.9776	0.995	Eukaryota
Query4694	0.5416	0.6531	0.8236	0.9932	Eukaryota
Query3761	0.5775	0.5848	0.9836	0.996	Eukaryota
Query2941	0.5067	0.515	0.53	0.5387	Eukaryota;Evosea;Eumycetozoa
Query4240	0.7296	0.7738	0.9404	0.9975	Eukaryota
Query3526	0.6635	0.6649	0.6903	0.6918	Eukaryota;Evosea;Eumycetozoa
Query5299	0.6342	0.6468	0.9771	0.9965	Eukaryota
Query2519	0.6595	0.6933	0.9463	0.9949	Eukaryota
Query5642	0.5616	0.6044	0.9204	0.9905	Eukaryota
Query5144	0.5461	0.6291	0.8634	0.9946	Eukaryota
Query3413	0.5663	0.628	0.897	0.9949	Eukaryota
Query6638	0.7373	0.7763	0.9455	0.9955	Eukaryota
Query4851	0.562	0.619	0.8997	0.9909	Eukaryota
Query2089	0.7165	0.764	0.9345	0.9965	Eukaryota
Query3483	0.6483	0.7273	0.8859	0.9939	Eukaryota
Query6972	0.7558	0.7991	0.9382	0.9919	Eukaryota
Query5790	0.6413	0.7208	0.7037	0.791	Eukaryota;Oomycota;Oomycota
Query4695	0.3374	0.4918	0.667	0.9724	Eukaryota
Query2289	0.7691	0.7911	0.9715	0.9992	Eukaryota
Query2279	0.7659	0.7902	0.9686	0.9992	Eukaryota
Query5997	0.6846	0.7387	0.9229	0.9958	Eukaryota
Query4264	0.7443	0.776	0.9555	0.9962	Eukaryota
Query2666	0.6306	0.7362	0.8471	0.9889	Eukaryota
Query2254	0.736	0.7466	0.9788	0.9929	Eukaryota
Query6646	0.6783	0.7879	0.848	0.985	Eukaryota
Query4235	0.755	0.7838	0.9557	0.9923	Eukaryota
Query2361	0.6139	0.7467	0.8017	0.9751	Eukaryota
Query6046	0.6465	0.6586	0.6733	0.6859	Eukaryota;Evosea;Eumycetozoa
Query5064	0.3602	0.7409	0.3602	0.7409	Eukaryota;Rhodophyta
Query2238	0.4739	0.492	0.9541	0.9906	Eukaryota
Query6011	0.6447	0.7335	0.8707	0.9908	Eukaryota
Query3433	0.6768	0.7953	0.8375	0.9842	Eukaryota
Query2096	0.5142	0.6001	0.851	0.9931	Eukaryota
Query5617	0.733	0.7379	0.9861	0.9927	Eukaryota
Query4614	0.6761	0.7188	0.9363	0.9955	Eukaryota
Query2729	0.7021	0.7043	0.975	0.978	Eukaryota
Query2114	0.7596	0.7832	0.9666	0.9967	Eukaryota
Query4973	0.9551	0.9577	0.9711	0.9738	Eukaryota
Query2717	0.5038	0.5939	0.8425	0.9932	Eukaryota
Query5233	0.774	0.783	0.9792	0.9905	Eukaryota
Query6019	0.7075	0.7114	0.9892	0.9946	Eukaryota
Query5320	0.5244	0.5437	0.9584	0.9937	Eukaryota
Query4016	0.7282	0.7686	0.9459	0.9985	Eukaryota
Query6496	0.7354	0.7483	0.9793	0.9964	Eukaryota
Query2851	0.3454	0.3454	0.9863	0.9864	Eukaryota
Query2273	0.6273	0.6706	0.9304	0.9945	Eukaryota
Query5952	0.749	0.7526	0.7864	0.7903	Eukaryota;Evosea;Eumycetozoa
Query4017	0.8331	0.8365	0.978	0.982	Eukaryota
Query3491	0.6642	0.7844	0.8401	0.9921	Eukaryota
Query3618	0.681	0.7269	0.9327	0.9955	Eukaryota
Query3434	0.6863	0.7158	0.9516	0.9925	Eukaryota
Query6725	0.7424	0.7561	0.9788	0.9967	Eukaryota
Query3025	0.7757	0.8044	0.963	0.9987	Eukaryota
Query6378	0.7222	0.7326	0.9808	0.9949	Eukaryota
Query2480	0.6476	0.6987	0.9213	0.994	Eukaryota
Query5621	0.7008	0.7242	0.9629	0.9949	Eukaryota
Query2458	0.7153	0.7187	0.7491	0.7526	Eukaryota;Evosea;Eumycetozoa
Query4785	0.7167	0.7393	0.9649	0.9955	Eukaryota
Query2257	0.6479	0.726	0.8868	0.9937	Eukaryota
Query4734	0.6869	0.7673	0.8863	0.9902	Eukaryota
Query2502	0.5744	0.6603	0.8638	0.993	Eukaryota
Query3409	0.2136	0.3392	0.4157	0.66	Eukaryota;Chlorophyta
Query6692	0.7383	0.7515	0.9776	0.9951	Eukaryota
Query3792	0.7471	0.7711	0.9672	0.9983	Eukaryota
Query5887	0.6492	0.7108	0.9084	0.9946	Eukaryota
Query3727	0.5077	0.5405	0.9315	0.9918	Eukaryota
Query5969	0.7998	0.8033	0.9836	0.988	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query3518	0.6905	0.6914	0.983	0.9843	Eukaryota
Query6167	0.7925	0.795	0.986	0.9891	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query6461	0.9361	0.9456	0.9596	0.9694	Eukaryota
Query4108	0.2107	0.6698	0.2107	0.6698	Eukaryota;Collodictyonidae;Collodictyonidae;Collodictyonidae;Collodictyonidae;Diphylleia;Diphylleia_rotans
Query2421	0.7569	0.757	0.9807	0.9808	Eukaryota
Query2119	0.7403	0.7838	0.9423	0.9978	Eukaryota
Query4544	0.7185	0.7392	0.9662	0.9941	Eukaryota
Query2627	0.7936	0.7986	0.8327	0.838	Eukaryota;Evosea;Eumycetozoa
Query4829	0.4894	0.5863	0.8135	0.9746	Eukaryota
Query4365	0.7285	0.7555	0.9615	0.9971	Eukaryota
Query7005	0.6423	0.6437	0.997	0.9991	Eukaryota
Query2336	0.7161	0.7163	0.9835	0.9837	Eukaryota
Query5737	0.7313	0.7722	0.9454	0.9982	Eukaryota
Query5694	0.6397	0.64	0.9982	0.9987	Eukaryota
Query3748	0.6745	0.7049	0.9551	0.9981	Eukaryota
Query2158	0.6487	0.6949	0.9287	0.9949	Eukaryota
Query6216	0.6385	0.7002	0.9059	0.9935	Eukaryota
Query3369	0.5255	0.5629	0.9095	0.9742	Eukaryota
Query6174	0.5639	0.618	0.8898	0.9751	Eukaryota
Query4123	0.6106	0.6124	0.9836	0.9865	Eukaryota
Query6533	0.7339	0.7395	0.9805	0.9879	Eukaryota
Query3694	0.5824	0.586	0.6074	0.6112	Eukaryota;Evosea;Eumycetozoa
Query6100	0.7419	0.7822	0.9434	0.9948	Eukaryota
Query2433	0.8124	0.8137	0.9806	0.9823	Eukaryota
Query5012	0.6915	0.7481	0.9206	0.9959	Eukaryota
Query4711	0.7473	0.7576	0.9841	0.9976	Eukaryota
Query2084	0.7602	0.7706	0.9849	0.9985	Eukaryota
Query3673	0.6247	0.7267	0.8502	0.9891	Eukaryota
Query2884	0.7426	0.7764	0.9542	0.9976	Eukaryota
Query6983	0.7304	0.7612	0.9564	0.9968	Eukaryota
Query4943	0.7291	0.7542	0.963	0.9962	Eukaryota
Query5128	0.5049	0.5249	0.9551	0.993	Eukaryota
Query2237	0.592	0.6362	0.9239	0.9929	Eukaryota
Query5313	0.6249	0.6766	0.9138	0.9894	Eukaryota
Query5255	0.5697	0.6029	0.9389	0.9936	Eukaryota
Query4847	0.6504	0.7081	0.9136	0.9947	Eukaryota
Query3682	0.7307	0.7699	0.9444	0.995	Eukaryota
Query3240	0.6923	0.7661	0.8977	0.9934	Eukaryota
Query5646	0.5401	0.5687	0.9395	0.9893	Eukaryota
Query3867	0.7331	0.7562	0.9639	0.9942	Eukaryota
Query3080	0.6968	0.7926	0.8668	0.986	Eukaryota
Query6338	0.6705	0.7205	0.9262	0.9953	Eukaryota
Query5706	0.7367	0.7658	0.9602	0.998	Eukaryota
Query4517	0.7565	0.77	0.9779	0.9953	Eukaryota
Query3860	0.7575	0.7711	0.9797	0.9973	Eukaryota
Query2176	0.4441	0.4635	0.9515	0.993	Eukaryota
Query4070	0.7782	0.7811	0.9837	0.9874	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query2474	0.7378	0.8679	0.8368	0.9844	Eukaryota
Query6416	0.7288	0.7747	0.9386	0.9976	Eukaryota
Query5523	0.6175	0.7199	0.8482	0.9889	Eukaryota
Query3868	0.3418	0.4573	0.3418	0.4573	Eukaryota;Rhodophyta
Query2496	0.7656	0.7799	0.9792	0.9976	Eukaryota
Query6898	0.631	0.7544	0.8265	0.9882	Eukaryota
Query5164	0.6095	0.6195	0.9742	0.9902	Eukaryota
Query4816	0.5557	0.6154	0.898	0.9944	Eukaryota
Query2801	0.7008	0.7258	0.9622	0.9965	Eukaryota
Query2464	0.3305	0.4645	0.3305	0.4645	Eukaryota;Rhodophyta
Query6806	0.3687	0.4813	0.3687	0.4813	Eukaryota;Rhodophyta
Query5624	0.7145	0.7628	0.9332	0.9964	Eukaryota
Query5025	0.6961	0.7117	0.9709	0.9927	Eukaryota
Query4393	0.5795	0.6247	0.9164	0.9878	Eukaryota
Query2263	0.7374	0.7771	0.9466	0.9976	Eukaryota
Query2601	0.3183	0.452	0.6847	0.9723	Eukaryota
Query4946	0.4165	0.4393	0.9361	0.9875	Eukaryota
Query4183	0.5326	0.5791	0.8968	0.9751	Eukaryota
Query6088	0.6677	0.784	0.8445	0.9916	Eukaryota
Query4106	0.3038	0.4366	0.3038	0.4366	Eukaryota;Rhodophyta
Query4395	0.764	0.7958	0.9588	0.9987	Eukaryota
Query2490	0.7391	0.7732	0.9543	0.9983	Eukaryota
Query2258	0.7432	0.7804	0.951	0.9986	Eukaryota
Query6117	0.719	0.767	0.9356	0.9982	Eukaryota
Query4172	0.6734	0.6958	0.9599	0.9918	Eukaryota
Query4553	0.7291	0.7616	0.9548	0.9973	Eukaryota
Query5057	0.5458	0.6291	0.8622	0.9937	Eukaryota
Query3303	0.7335	0.7728	0.9466	0.9974	Eukaryota
Query3359	0.5881	0.6798	0.8596	0.9936	Eukaryota
Query2434	0.7295	0.771	0.9428	0.9963	Eukaryota
Query6762	0.64	0.6707	0.9491	0.9946	Eukaryota
Query5983	0.663	0.7127	0.9258	0.9952	Eukaryota
Query2505	0.6684	0.721	0.923	0.9956	Eukaryota
Query6327	0.7303	0.7587	0.9599	0.9972	Eukaryota
Query2740	0.9692	0.9734	0.9752	0.9794	Eukaryota
Query3981	0.6662	0.86	0.711	0.9178	Eukaryota
Query5222	0.5499	0.641	0.8528	0.994	Eukaryota
Query4828	0.6844	0.7035	0.9683	0.9952	Eukaryota
Query6812	0.518	0.5194	0.995	0.9975	Eukaryota
Query4337	0.8706	0.96	0.8803	0.9707	Eukaryota
Query4361	0.6813	0.78	0.8671	0.9926	Eukaryota
Query2149	0.7379	0.7505	0.9797	0.9963	Eukaryota
Query5677	0.4993	0.5	0.4993	0.5	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida;Saccosporidae
Query2346	0.6286	0.6296	0.9865	0.9882	Eukaryota
Query4455	0.6957	0.7088	0.9779	0.9963	Eukaryota
Query3545	0.5497	0.5984	0.9096	0.9902	Eukaryota
Query6068	0.7105	0.7227	0.9781	0.9948	Eukaryota
Query2868	0.5092	0.7465	0.6589	0.966	Eukaryota
Query4401	0.7392	0.7564	0.9746	0.9973	Eukaryota
Query6001	0.6154	0.732	0.8314	0.9889	Eukaryota
